"Name","Price","Size","InStock","DeliveryAvailable","URL"
"Grangestone Bourbon Cask Finish Single Malt Scotch Whisky","$64.99","1.75L","Limited Quantity","Available","https://www.totalwine.com/spirits/scotch/single-malt/grangestone-bourbon-cask-finish-single-malt-scotch-whisky/p/135113175?s=1701&igrules=true"
"Oban 18 Yr","$179.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/oban-18-yr/p/110615750?s=1701&igrules=true"
"Grangestone 18y Yr Single Malt Scotch Whisky","$79.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/deals/scotch/single-malt/grangestone-18y-yr-single-malt-scotch-whisky/p/117057750?s=1701&igrules=true"
"Shieldaig Highland Peaty Single Malt","$18.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/deals/scotch/single-malt/shieldaig-highland-peaty-single-malt/p/109034750?s=1701&igrules=true"
"Highland Queen Majesty 15 Year Old Single Malt","$39.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/deals/scotch/single-malt/highland-queen-majesty-15-year-old-single-malt/p/177459750?s=1701&igrules=true"
"Tomatin Single Malt 12 Yr","$48.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/tomatin-single-malt-12-yr/p/99155750?s=1701&igrules=true"
"Talisker Storm","$37.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/talisker-storm/p/135892750?s=1701&igrules=true"
"Highland Queen Majesty Sherry Finish Single Malt","$18.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/deals/scotch/single-malt/highland-queen-majesty-sherry-finish-single-malt/p/177456750?s=1701&igrules=true"
"Aberlour 18 Yr","$149.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/aberlour-18-yr/p/113432750?s=1701&igrules=true"
"Ainsley Brae Single Malt Oak Cask","$24.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/deals/scotch/single-malt/ainsley-brae-single-malt-oak-cask/p/144652750?s=1701&igrules=true"
"Caol Ila 12 Yr","$63.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/caol-ila-12-yr/p/99909750?s=1701&igrules=true"
"Singleton of Gledullan 12 Yr","$33.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/singleton-of-gledullan-12-yr/p/171610750?s=1701&igrules=true"
"Glenfiddich 21 Yr","$219.99","750ml","Limited Quantity","Available","https://www.totalwine.com/spirits/scotch/single-malt/glenfiddich-21-yr/p/38774750?s=1701&igrules=true"
"Old Pulteney 12 Year","$39.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/old-pulteney-12-year/p/96462750?s=1701&igrules=true"
"Auchentoshan 12 Yr","$43.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/auchentoshan-12-yr/p/113123750?s=1701&igrules=true"
"Highland Queen Majesty Burgundy Finish Single Malt","$18.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/deals/scotch/single-malt/highland-queen-majesty-burgundy-finish-single-malt/p/177458750?s=1701&igrules=true"
"Glen Fohdry 21yr Speyside Single Malt","$99.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glen-fohdry-21yr-speyside-single-malt/p/183301750?s=1701&igrules=true"
"Highland Queen Majesty Sauternes Finish Single Malt","$18.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/deals/scotch/single-malt/highland-queen-majesty-sauternes-finish-single-malt/p/177457750?s=1701&igrules=true"
"Glen Kirk 8 Yr Single Malt Scotch Whisky","$21.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glen-kirk-8-yr-single-malt-scotch-whisky/p/109460750?s=1701&igrules=true"
"Jura Journey Scotch","$34.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/jura-journey-scotch/p/226934750?s=1701&igrules=true"
"Cardhu 12 Yr Speyside Single Malt","$49.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/cardhu-12-yr-speyside-single-malt/p/111616750?s=1701&igrules=true"
"Grangestone Madeira Finish","$34.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/grangestone-madeira-finish/p/219092750?s=1701&igrules=true"
"Laphroaig Lore","$119.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/laphroaig-lore/p/172232750?s=1701&igrules=true"
"Islay Gold Lorcan","$35.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/islay-gold-lorcan/p/219850750?s=1701&igrules=true"
"Glen Fohdry American Oak Cask Speyside Single Malt Scotch","$32.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glen-fohdry-american-oak-cask-speyside-single-malt-scotch/p/183299750?s=1701&igrules=true"
